Re=0, We=0.5, Ma=0.001, Mesh=32, t=10.0000324103, E_k=0.0138417059028, E_e=1.01530299747
Re=0, We=0.5, Ma=0.001, Mesh=32, t=10.0000324103, E_k=0.0138420843941, E_e=1.01529239847
Re=0, We=0.5, Ma=0.001, Mesh=32, t=6.00012497071, E_k=0.0138437838154, E_e=1.0141639541
Re=0, We=0.5, Ma=0.001, Mesh=32, t=0.00527622667139, E_k=8.29607520298e-10, E_e=-1.23805567409e-06
Re=0, We=0.5, Ma=0.001, Mesh=32, t=0.00527622667139, E_k=8.29607520298e-10, E_e=-1.23805567409e-06
Re=0, We=0.5, Ma=0.001, Mesh=32, t=6.00012497071, E_k=0.0138437838154, E_e=1.0141639541
Re=0, We=0.5, Ma=0.001, Mesh=48, t=6.00015470588, E_k=0.0134250591305, E_e=1.12857162242
Re=0, We=0.5, Ma=0.001, Mesh=64, t=6.00010165919, E_k=0.0131641857291, E_e=1.20247582946
Re=1.0, We=0.1, Ma=0.001, Mesh=48, t=6.00015470587, E_k=0.0162630243605, E_e=0.0576292858996
Re=0, We=0.5, Ma=0.001, Mesh=72, t=6.00007695949, E_k=0.0130509423176, E_e=1.22650492113
Re=1.0, We=0.1, Ma=0.001, Mesh=48, t=6.00015470587, E_k=0.0160800998804, E_e=0.0552640456803
Re=1.0, We=0.25, Ma=0.001, Mesh=48, t=6.00015470587, E_k=0.0146995601669, E_e=0.303148712388
Re=1.0, We=0.1, Ma=0.001, Mesh=48, t=0.434314444348, E_k=0.000811061712052, E_e=0.000357805933454
Re=1.0, We=0.1, Ma=0.001, Mesh=48, t=0.434314444348, E_k=0.000811061712052, E_e=0.000357805933454
Re=1.0, We=0.1, Ma=0.001, Mesh=48, t=0.434314444348, E_k=0.000811061712052, E_e=0.000357805933454
Re=1.0, We=0.1, Ma=0.001, Mesh=48, t=0.434314444348, E_k=0.000811061712052, E_e=0.000357805933454
Re=1.0, We=0.1, Ma=0.001, Mesh=48, t=6.00222562089, E_k=0.0157905375205, E_e=0.0480174614157
Re=1.0, We=0.25, Ma=0.001, Mesh=48, t=6.00222562089, E_k=0.0147485724094, E_e=0.300666541909
Re=1.0, We=0.5, Ma=0.001, Mesh=48, t=6.00222562089, E_k=0.0133859946996, E_e=1.12143729241
Re=1.0, We=0.75, Ma=0.001, Mesh=48, t=6.00222562089, E_k=0.0129097184359, E_e=2.50961376183
Re=1.0, We=1.0, Ma=0.001, Mesh=48, t=6.00222562089, E_k=0.0128330780564, E_e=4.38340021545
Re=0, We=0.2, Ma=0.001, Mesh=48, t=4.00010313725, E_k=0.0137833518259, E_e=0.210811989589
Re=0, We=0.2, Ma=0.001, Mesh=56, t=4.00014049964, E_k=0.0127376021266, E_e=0.195073090573
Re=0, We=0.2, Ma=0.001, Mesh=48, t=4.00026396833, E_k=0.0140915997723, E_e=0.214641007417
Re=0, We=0.2, Ma=0.001, Mesh=56, t=4.00010747134, E_k=0.0127664295316, E_e=0.20324283336
Re=0.0, We=0.5, Ma=0.001, Mesh=56, t=4.00010747134, E_k=0.00997083847676, E_e=3.24308600327
Re=0, We=0.2, Ma=0.001, Mesh=36, t=4.00040077189, E_k=0.0136236959686, E_e=0.213404260541
Re=0.0, We=0.75, Ma=0.001, Mesh=56, t=4.00010747134, E_k=0.00917171372571, E_e=11.8257975143
Re=0, We=0.2, Ma=0.001, Mesh=48, t=4.00026396833, E_k=0.0136370298437, E_e=0.21293145412
Re=0, We=0.2, Ma=0.001, Mesh=36, t=4.00040077189, E_k=0.0136334086042, E_e=0.213429569657
Re=0, We=0.2, Ma=0.001, Mesh=48, t=4.00026396833, E_k=0.0136380912272, E_e=0.212939635989
Re=0, We=0.2, Ma=0.001, Mesh=50, t=4.00022592466, E_k=0.0137260083609, E_e=0.213879257437
Re=0, We=0.2, Ma=0.001, Mesh=52, t=4.00004952126, E_k=0.0134227758455, E_e=0.211878465405
