Re=0, We=0.5, Ma=0.001, Mesh=32, t=10.0000324103----- psi_min=0.0
Re=0, We=0.5, Ma=0.001, Mesh=32, t=10.0000324103----- psi_min=0.0---[[ 0.9765625   0.        ]
 [ 0.96875     0.        ]
 [ 0.97291185  0.01214392]
 ..., 
 [ 0.0058159   0.99426793]
 [ 0.0078125   1.        ]
 [ 0.          0.9921875 ]]
Re=0, We=0.5, Ma=0.001, Mesh=32, t=6.00012497071----- psi_min=-0.0692665964447---[[ 0.486205    0.82006689]]

Re=0, We=0.5, Ma=0.001, Mesh=32, t=6.00012497071----- psi_min=-0.0692665964447---[[ 0.486205    0.82006689]]
Re=0, We=0.5, Ma=0.001, Mesh=48, t=6.00015470588----- psi_min=-0.067892878885---[[ 0.49346959  0.81702208]]
Re=0, We=0.5, Ma=0.001, Mesh=64, t=6.00010165919----- psi_min=-0.0669610905997---[[ 0.486205    0.82006689]]
Re=0, We=0.5, Ma=0.001, Mesh=72, t=6.00007695949----- psi_min=-0.0665765010044---[[ 0.486205    0.82006689]]
Re=1.0, We=0.1, Ma=0.001, Mesh=48, t=6.00015470587----- psi_min=-0.0762929504138---[[ 0.49187881  0.78720413]]
Re=1.0, We=0.25, Ma=0.001, Mesh=48, t=6.00015470587----- psi_min=-0.0718034758869---[[ 0.48858809  0.79787017]]
Re=1.0, We=0.1, Ma=0.001, Mesh=48, t=0.434314444348----- psi_min=-0.0168719644438---[[ 0.5         0.80310001]]
Re=1.0, We=0.1, Ma=0.001, Mesh=48, t=0.434314444348----- psi_min=-0.0168719644438---[[ 0.5         0.80310001]]
Re=1.0, We=0.1, Ma=0.001, Mesh=48, t=0.434314444348----- psi_min=-0.0168719644438---[[ 0.5         0.80310001]]
Re=1.0, We=0.1, Ma=0.001, Mesh=48, t=0.434314444348----- psi_min=-0.0168719644438---[[ 0.5         0.80310001]]
Re=1.0, We=0.1, Ma=0.001, Mesh=48, t=6.00222562089----- psi_min=-0.0751808351593---[[ 0.48958333  0.79335334]]
Re=1.0, We=0.25, Ma=0.001, Mesh=48, t=6.00222562089----- psi_min=-0.0717718199677---[[ 0.48958333  0.80310001]]
Re=1.0, We=0.5, Ma=0.001, Mesh=48, t=6.00222562089----- psi_min=-0.0677537972503---[[ 0.48958333  0.82215815]]
Re=1.0, We=0.75, Ma=0.001, Mesh=48, t=6.00222562089----- psi_min=-0.0663723645479---[[ 0.48958333  0.82215815]]
Re=1.0, We=1.0, Ma=0.001, Mesh=48, t=6.00222562089----- psi_min=-0.0660576506416---[[ 0.48958333  0.83146961]]
Re=0, We=0.2, Ma=0.001, Mesh=48, t=4.00010313725----- psi_min=-0.0695924584141---[[ 0.51058439  0.8016828 ]]
Re=0, We=0.2, Ma=0.001, Mesh=56, t=4.00014049964----- psi_min=-0.0666894201868---[[ 0.49958624  0.79977649]]
Re=0, We=0.2, Ma=0.001, Mesh=48, t=4.00026396833----- psi_min=-0.0705812848217---[[ 0.51954417  0.79848033]]
Re=0, We=0.2, Ma=0.001, Mesh=56, t=4.00010747134----- psi_min=-0.0660083592993---[[ 0.50592397  0.79589117]]
Re=0.0, We=0.5, Ma=0.001, Mesh=56, t=4.00010747134----- psi_min=-0.056731219225---[[ 0.51021927  0.82655558]]
Re=0, We=0.2, Ma=0.001, Mesh=36, t=4.00040077189----- psi_min=-0.0687657272432---[[ 0.51058439  0.8016828 ]]
Re=0.0, We=0.75, Ma=0.001, Mesh=56, t=4.00010747134----- psi_min=-0.0532254272715---[[ 0.5657341   0.79249324]]
Re=0, We=0.2, Ma=0.001, Mesh=48, t=4.00026396833----- psi_min=-0.0689675637865---[[ 0.51058439  0.8016828 ]]
Re=0, We=0.2, Ma=0.001, Mesh=36, t=4.00040077189----- psi_min=-0.0688028381055---[[ 0.51058439  0.8016828 ]]
Re=0, We=0.2, Ma=0.001, Mesh=48, t=4.00026396833----- psi_min=-0.0689722051091---[[ 0.51058439  0.8016828 ]]
Re=0, We=0.2, Ma=0.001, Mesh=50, t=4.00022592466----- psi_min=-0.0692817546455---[[ 0.51058439  0.8016828 ]]
Re=0, We=0.2, Ma=0.001, Mesh=52, t=4.00004952126----- psi_min=-0.0682516337279---[[ 0.51058439  0.8016828 ]]
