
Re=0, We=1.0, Ma=0.01, t=0.043----- psi_min=-4.22450200277e-05
Re=0, We=1.0, Ma=0.01, t=10.0----- psi_min=-0.0370760761088
Re=5, We=1.0, Ma=0.01, t=10.0----- psi_min=-0.0370282404323
Re=10, We=1.0, Ma=0.01, t=10.0----- psi_min=-0.0367211185876
Re=25, We=1.0, Ma=0.01, t=10.0----- psi_min=-0.0363970062089
Re=50, We=1.0, Ma=0.01, t=10.0----- psi_min=-0.0358291627676
Re=0, We=1.0, Ma=0.01, t=10.0----- psi_min=-0.0367400360808
Re=5, We=1.0, Ma=0.01, t=10.0----- psi_min=-0.0370282404323
Re=10, We=1.0, Ma=0.01, t=10.0----- psi_min=-0.0367211185876
Re=25, We=1.0, Ma=0.01, t=10.0----- psi_min=-0.0363970062089
Re=50, We=1.0, Ma=0.01, t=10.0----- psi_min=-0.0358291627676
Re=0, We=1.0, Ma=0.1, t=10.0----- psi_min=-0.0405214519722
Re=5, We=1.0, Ma=0.1, t=10.0----- psi_min=-0.0372793770699
Re=10, We=1.0, Ma=0.1, t=10.0----- psi_min=-0.0368460541573
Re=25, We=1.0, Ma=0.1, t=10.0----- psi_min=-0.0362401110457
Re=50, We=1.0, Ma=0.1, t=10.0----- psi_min=-0.0356519098619
Re=0, We=1.0, Ma=0.1, t=25.002----- psi_min=-0.0412189251259

Re=0, We=1.0, Ma=0.01, t=10.0----- psi_min=-0.0452187985692
Re=0, We=1.0, Ma=0.01, t=10.0----- psi_min=-0.0466099701425
Re=0, We=1.0, Ma=0.01, t=10.0----- psi_min=-0.0397782085955

Re=0, We=1.0, Ma=0.01, t=12.001----- psi_min=-0.0413547223545
Re=5, We=1.0, Ma=0.01, t=12.001----- psi_min=-0.0412963317358
Re=10, We=1.0, Ma=0.01, t=12.001----- psi_min=-0.0410838229148
Re=25, We=1.0, Ma=0.01, t=12.001----- psi_min=-0.0408868519483
Re=50, We=1.0, Ma=0.01, t=12.001----- psi_min=-0.0405320918212

Re=0.0, We=0.1, Ma=0.01, t=12.001----- psi_min=-0.0810755751522
Re=0.0, We=0.25, Ma=0.01, t=12.001----- psi_min=-0.0729946942475
Re=0.0, We=0.5, Ma=0.01, t=12.001----- psi_min=-0.0557015963985


Re=0.0, We=0.1, Ma=0.001, t=12.001----- psi_min=-0.0812053577594
Re=0.0, We=0.25, Ma=0.001, t=12.001----- psi_min=-0.0717260334186
Re=0.0, We=0.5, Ma=0.001, t=12.001----- psi_min=-0.0558712580923
Re=0.0, We=0.75, Ma=0.001, t=12.001----- psi_min=-0.0480452591932


Re=0.0, We=0.1, Ma=0.001, t=12.001----- psi_min=-0.0812053577594---[[ 0.5         0.77778512]]
Re=0.0, We=0.25, Ma=0.001, t=12.001----- psi_min=-0.071771475104---[[ 0.5         0.79749088]]
Re=0.0, We=0.5, Ma=0.001, t=12.001----- psi_min=-0.0557140079737---[[ 0.54900857  0.83537502]]
Re=0.0, We=0.75, Ma=0.001, t=12.001----- psi_min=-0.0481521837823---[[ 0.54900857  0.87002931]]
Re=0.0, We=1.0, Ma=0.001, t=12.001----- psi_min=-0.042505800555---[[ 0.52450429  0.88650523]]

Re=0.0, We=0.1, Ma=0.01, t=12.001----- psi_min=-0.081209327412---[[ 0.5         0.77778512]]
Re=0.0, We=0.25, Ma=0.01, t=12.001----- psi_min=-0.0719576367366---[[ 0.5         0.79749088]]
Re=0.0, We=0.5, Ma=0.01, t=12.001----- psi_min=-0.0558110830761---[[ 0.54900857  0.83537502]]
Re=0.0, We=0.75, Ma=0.01, t=12.001----- psi_min=-0.0479804880216---[[ 0.54900857  0.87002931]]
Re=0.0, We=1.0, Ma=0.01, t=12.001----- psi_min=-0.0426376577577---[[ 0.52450429  0.88650523]]

Re=0.0, We=0.1, Ma=0.1, t=12.001----- psi_min=-0.081129620244---[[ 0.5         0.77778512]]
Re=0.0, We=0.25, Ma=0.1, t=12.001----- psi_min=-0.0714679102035---[[ 0.5         0.79749088]]



Re=0, We=0.5, Ma=0.001, t=25.0----- psi_min=-0.058346137188---[[ 0.52450429  0.83537502]]
Re=5, We=0.5, Ma=0.001, t=25.0----- psi_min=-0.058264253911---[[ 0.52450429  0.83537502]]
Re=10, We=0.5, Ma=0.001, t=25.0----- psi_min=-0.0582430011291---[[ 0.54900857  0.83537502]]
Re=25, We=0.5, Ma=0.001, t=25.0----- psi_min=-0.0581387637713---[[ 0.54900857  0.83537502]]
Re=50, We=0.5, Ma=0.001, t=25.0----- psi_min=-0.0574596262429---[[ 0.57327687  0.83537502]]

Re=0, We=0.5, Ma=0.01, t=25.0----- psi_min=-0.0582837108134---[[ 0.52450429  0.83537502]]
Re=5, We=0.5, Ma=0.01, t=25.0----- psi_min=-0.0582339404594---[[ 0.52450429  0.83537502]]
Re=10, We=0.5, Ma=0.01, t=25.0----- psi_min=-0.0582336212938---[[ 0.54900857  0.83537502]]
Re=25, We=0.5, Ma=0.01, t=25.0----- psi_min=-0.0581780712599---[[ 0.54900857  0.83537502]]
Re=50, We=0.5, Ma=0.01, t=25.0----- psi_min=-0.057417726633---[[ 0.57327687  0.83537502]]


Re=0, We=0.5, Ma=0.1, t=50.001----- psi_min=-0.0579610577885---[[ 0.52450429  0.83537502]]
Re=5, We=0.5, Ma=0.1, t=50.001----- psi_min=-0.0581030729818---[[ 0.52450429  0.83537502]]



Re=0, We=0.25, Ma=1500, Mesh=48, t=5.00064256984----- psi_min=0.0---[[  0.00000000e+00   1.00000000e+00]

Re=0, We=0.5, Ma=0.001, t=0.0859740386894----- psi_min=-8.71409628398e-05---[[ 0.5         0.81719664]]
Re=0, We=0.5, Ma=0.001, t=0.0859740386894----- psi_min=-8.71409628398e-05---[[ 0.5         0.81719664]]
Re=5, We=0.5, Ma=0.1, t=0.0859740386894----- psi_min=-5.51760087656e-05---[[ 0.5         0.87002931]]
Re=0, We=0.5, Ma=0.001, t=2.00038604871----- psi_min=-0.0496713661214---[[ 0.52450429  0.87002931]]
Re=0, We=0.5, Ma=0.001, t=0.0022----- psi_min=-9.31813206763e-06---[[ 0.50376814  0.92669855]]
Re=0, We=0.5, Ma=0.001, t=0.0022----- psi_min=-9.31813206763e-06---[[ 0.50376814  0.92669855]]
Re=0, We=0.5, Ma=0.001, t=0.0022----- psi_min=-9.313111982e-06---[[ 0.50376814  0.92669855]]
Re=0, We=0.5, Ma=0.001, t=2.0002----- psi_min=-0.0493047817739---[[ 0.53206288  0.86799189]]
Re=0, We=0.5, Ma=0.001, t=20.0----- psi_min=-0.0412269815113---[[ 0.53901146  0.88974684]]
Re=0, We=0.5, Ma=0.001, t=20.0----- psi_min=-0.0414134534255---[[ 0.53901146  0.88974684]]
Re=5, We=0.5, Ma=0.001, t=20.0----- psi_min=-0.0417116085855---[[ 0.53175587  0.886728  ]]
Re=10, We=0.5, Ma=0.001, t=20.0----- psi_min=-0.0415896931609---[[ 0.53901146  0.88974684]]
Re=25, We=0.5, Ma=0.001, t=20.0----- psi_min=-0.0409993650931---[[ 0.55090646  0.89088327]]
Re=50, We=0.5, Ma=0.001, t=20.0----- psi_min=-0.0407202602899---[[ 0.56521103  0.88778933]]
Re=0, We=0.5, Ma=0.01, t=20.0----- psi_min=-0.0406625640305---[[ 0.53901146  0.88974684]]


Re=0, We=0.25, Ma=0.001, t=3.501----- psi_min=-0.0717394267213---[[ 0.47033251  0.75181805]]
Re=50, We=0.5, Ma=0.001, t=0.0248775894744----- psi_min=-6.78175801141e-06---[[ 0.50296304  0.95848885]]
Re=10, We=0.5, Ma=0.001, t=0.400213205435----- psi_min=-0.00656926887677---[[ 0.49438792  0.88567791]]
Re=10, We=0.5, Ma=0.001, t=10.0004529857----- psi_min=-0.0598343325741---[[ 0.53714407  0.8273019 ]]
Re=10, We=0.5, Ma=0.01, t=10.0004529857----- psi_min=-0.0597770965311---[[ 0.53714407  0.8273019 ]]
Re=10, We=0.5, Ma=0.1, t=10.0004529857----- psi_min=-0.059739292237---[[ 0.53714407  0.8273019 ]]
Re=10, We=0.5, Ma=0.001, t=10.0004529857----- psi_min=-0.0598343325741---[[ 0.53714407  0.8273019 ]]
Re=10, We=0.5, Ma=0.01, t=10.0004529857----- psi_min=-0.0597770965311---[[ 0.53714407  0.8273019 ]]
Re=10, We=0.5, Ma=0.1, t=10.0004529857----- psi_min=-0.059739292237---[[ 0.53714407  0.8273019 ]]
Re=10, We=0.5, Ma=0.001, t=10.0004529857----- psi_min=-0.0598343325741---[[ 0.53714407  0.8273019 ]]
Re=10, We=0.5, Ma=0.01, t=10.0004529857----- psi_min=-0.0597770965311---[[ 0.53714407  0.8273019 ]]
Re=10, We=0.5, Ma=0.1, t=10.0004529857----- psi_min=-0.059739292237---[[ 0.53714407  0.8273019 ]]
